_id,application_date,completed_date,description,issued_date,permit_num,permit_type,postal,revision_num,status,street_direction,street_name,street_num,street_type,structure_type,green_tech,green_roof_area,green_roof_variation_area,heater_work,address,location,latitude,longitude
7381,2009-05-07,2010-10-05,installation of solar hot water heating (supplemantary) system complete with dual panel (5m2) solar collector on roof projecting 1.2m above roof line.  ,2009-05-11,09 135007,Small Residential Projects,M4K,0,Closed, ,GRANDVIEW,4,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"4 GRANDVIEW AVE   Toronto, Canada","4, Grandview Avenue, Greektown, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1E8, Canada",43.673487,-79.35090253
7382,2009-05-07,,Installation of a roof top solar water heating system with connection to potable water heating system ,2009-05-11,09 135023,Small Residential Projects,M4M,0,Inspection, ,JONES,81,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"81 JONES AVE   Toronto, Canada","81, Jones Avenue, Leslieville, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L4, Canada",43.6646369,-79.33344924
7383,2009-05-11,2011-01-14,Proposal to install a dual collector solar panel on the roof of existing SFD.  South Elevation.,2009-05-20,09 136204,Small Residential Projects,M4J,0,Closed, ,BOULTBEE,114,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"114 BOULTBEE AVE   Toronto, Canada","114, Boultbee Avenue, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4J 3G4, Canada",43.6739258,-79.3341811
7384,2009-06-11,2010-03-03,Permit for installation of 2 solar collectors (certified model number 09-148270-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 148320,Small Residential Projects,M4M,0,Closed,E,GERRARD,899,ST,Converted House,Solar Water Heater,,,Solar Domestic Hot Water (Res),"899 GERRARD ST E Toronto, Canada","899, Gerrard Street East, Toronto—Danforth, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1Z2, Canada",43.66742791,-79.34169671
7385,2009-06-11,,Permit for installation of 2 solar collectors for solar hot water heating system. (09 148268 CE)Refer to related plumbing application for connection to potable water heating system. ,2009-08-17,09 148341,Small Residential Projects,M4M,0,Permit Issued, ,LOGAN,201,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"201 LOGAN AVE   Toronto, Canada","201, Logan Avenue, Toronto—Danforth, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1J3, Canada",43.65919829,-79.34175352
7386,2009-06-11,2011-02-15,Permit for installation of 2 solar collectors (certified model number 09-148268-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 148351,Small Residential Projects,M4K,0,Cancelled, ,BROWNING,5,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"5 BROWNING AVE   Toronto, Canada","5, Browning Avenue, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 2R6, Canada",43.68097152,-79.35725672
7387,2009-06-19,2010-07-14,Permit for installation of 2 solar collectors on roof of existing building for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-02-03,09 152120,Small Residential Projects,M4M,0,Closed, ,LESLIE,271,ST,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"271 LESLIE ST   Toronto, Canada","271, Leslie Street, East End, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 3C9, Canada",43.6685332,-79.3323709
7388,2009-08-04,,"Installation of 2 solar collectors in the rear yard (accessory building) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-11-18,09 153159,Small Residential Projects,M4M,0,Inspection, ,BRIGHTON,11,AVE,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"11 BRIGHTON AVE   Toronto, Canada","11, Brighton Avenue, Leslieville, East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2S1, Canada",43.66393905,-79.33775488
7389,2009-08-04,,"Permit for installation of 2 solar collectors (certified model number 09-148269-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.
",2009-08-17,09 153172,Small Residential Projects,M9B,0,Permit Issued, ,GREENFIELD,69,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"69 GREENFIELD DR   Toronto, Canada","69, Greenfield Drive, Cloverdale, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 1M5, Canada",43.637074,-79.55060048
7390,2009-08-04,2017-11-17,Permit for installation of 2 solar collectors (certified model number 09-148269-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2009-08-17,09 153185,Small Residential Projects,M4L,0,Cancelled, ,SANDFORD,11,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"11 SANDFORD AVE   Toronto, Canada",,,
